age,salary,average_call_duration,day_call_month,evening_call_month,night_call_month,other_cities_call,other_country_call,landline_phones_share,sms_month
19,10928,4.7,21,12,7,0,0,11,25
19,21225,6.8,41,5,6,0,0,1,49
19,42252,6.6,21,76,7,0,0,1,13
19,19543,2.6,42,71,10,0,0,2,21
19,3522,5.7,26,70,2,5,0,15,55
19,7771,0.8,34,106,25,0,0,4,63
19,5427,1.2,34,32,10,0,1,1,49
19,41093,5.9,44,53,5,0,0,10,11
19,54723,5.9,47,77,17,2,1,0,91
19,18154,3,40,55,0,0,0,12,47
19,3124,0.9,14,37,7,0,0,5,42
19,2373,3,35,78,0,0,0,4,44
19,9009,3.3,34,2,6,0,0,2,31
19,13832,2.6,39,37,0,0,0,1,38
19,2217,0.3,55,57,8,4,0,4,50
19,3325,0.5,35,55,10,0,0,2,16
19,16128,1.8,59,64,10,0,0,6,94
19,31297,3.4,4,119,17,2,0,7,22
19,4851,5.5,60,64,4,0,0,5,46
19,4816,0.6,45,79,4,0,0,2,36
19,18112,2.5,31,68,9,4,0,4,33
19,3948,4.7,49,61,20,0,0,2,70
19,1316,2,35,59,0,0,0,5,33
19,10465,1,31,115,7,2,0,3,40
19,1675,0.2,59,69,7,0,0,2,12
19,5542,0.6,33,103,18,0,0,13,20
19,7453,1,42,71,8,2,0,2,11
19,24108,2.8,44,75,8,0,0,6,38
19,1323,4.2,1,41,6,0,0,1,11
19,30012,2.5,53,113,11,3,0,3,71
19,4357,0.8,31,51,7,0,0,7,113
19,30729,3.6,51,82,2,2,0,2,45
19,12689,2.4,31,42,20,0,1,2,31
19,39905,6.7,27,64,5,2,0,0,63
19,8982,1.5,16,73,10,0,0,5,33
19,53018,5.8,28,111,9,0,0,2,110
19,39137,4.8,50,78,0,0,0,3,50
19,5351,2.4,27,2,12,0,0,1,80
19,3153,1.5,30,3,0,2,1,0,36
19,10675,2.5,25,32,8,4,0,0,28
19,60207,6.1,59,79,6,0,0,9,31
19,11466,2.4,36,39,0,0,0,4,115
19,13632,2,32,73,4,0,0,0,27
19,14457,1.7,59,72,5,2,0,2,35
19,9746,2,33,42,3,0,0,12,28
19,4481,2.1,27,5,3,0,0,0,39
19,44233,5.6,40,68,32,0,0,0,24
19,21525,2.5,36,79,16,2,0,11,50
19,4042,0.7,2,67,27,0,0,1,32
19,18951,2.5,48,67,8,0,0,2,12
19,55247,5.9,44,103,0,0,0,5,56
19,2073,0.3,39,68,3,0,0,4,14
19,2758,0.4,16,78,9,0,0,1,31
19,61448,5.9,45,116,5,0,0,2,68
19,13759,2.7,9,69,4,0,0,13,29
19,9963,2.3,60,4,8,0,0,1,27
19,3696,1.6,18,4,22,0,1,6,27
19,321,0.4,50,66,20,0,1,5,20
19,72576,7.2,37,107,0,0,0,5,72
19,57661,6.2,35,106,10,0,0,3,30
19,60598,6.3,49,99,6,2,0,1,43
19,17709,2,32,104,6,0,0,2,12
19,24015,5.8,10,52,6,0,0,1,77
19,6111,0.9,13,79,10,0,0,0,116
19,24015,5.8,6,55,8,2,0,8,96
19,30653,2.9,37,113,2,0,0,0,40
19,6822,4.2,22,2,3,0,0,3,79
19,14915,2.1,44,63,9,0,0,0,22
19,8294,1.2,32,74,5,2,0,14,25
20,3287,0.4,23,101,10,3,0,3,46
20,41118,4.4,46,74,27,3,0,5,40
20,3594,5.2,26,66,33,2,0,13,45
20,1646,3.4,7,64,10,0,1,5,66
20,40,0.4,48,107,4,0,0,1,60
20,10663,2.7,25,33,8,0,0,6,54
20,39755,7.9,5,74,0,0,0,8,26
20,19521,2.7,48,62,7,0,0,0,26
20,28334,3.2,60,77,4,2,0,10,28
20,13393,2.9,56,3,27,2,0,1,79
20,4372,5.3,42,86,3,0,0,0,105
20,17199,2.4,33,64,31,0,0,5,113
20,17108,2.6,23,67,8,0,0,0,66
20,4179,0.8,39,33,20,0,0,6,16
20,10553,1.5,52,46,5,0,0,2,27
20,8896,1.9,26,34,27,0,0,2,18
20,4256,0.8,2,70,8,0,0,7,73
20,3172,0.6,49,34,0,2,0,1,43
20,13616,1.5,40,101,3,0,0,1,81
20,2981,0.4,43,69,10,0,1,6,19
20,2723,0.5,4,75,13,0,0,3,48
20,11364,1.6,42,66,7,0,0,7,20
20,4025,2.3,16,5,8,0,0,6,69
20,1701,2.7,7,78,10,0,0,11,55
20,24766,2.9,59,63,0,0,0,3,32
20,22416,2.3,39,114,0,0,0,4,110
20,3325,0.6,45,40,4,0,0,3,103
20,49875,5.7,56,65,8,3,0,0,35
20,3063,5.9,14,66,3,0,0,4,62
20,4669,5.8,47,68,0,3,0,7,44
20,15938,1.8,34,105,0,0,0,7,50
20,20671,2.2,53,80,29,0,0,7,24
20,7797,1.8,9,58,2,0,0,3,44
20,19428,2.5,51,69,4,0,0,3,37
20,6332,0.7,25,112,10,0,1,7,24
20,18919,1.8,57,108,0,2,0,4,73
20,56,2,37,3,0,0,0,4,56
20,19034,2.4,39,81,9,0,0,0,15
20,2255,2.4,29,116,5,0,0,7,19
20,6558,2.9,25,9,3,3,0,3,14
20,21422,5.9,50,4,6,0,0,0,100
20,28206,2.7,45,115,8,0,0,0,71
20,12332,3.2,25,32,7,0,0,6,44
20,74529,6.3,52,104,26,0,0,2,17
20,17256,2.1,23,106,0,0,0,0,45
20,40449,5,53,74,0,2,0,0,63
20,6937,0.9,45,76,0,0,0,2,52
20,5249,0.8,35,63,10,0,0,0,29
20,567,7.5,37,66,10,0,0,0,43
20,3255,3,33,110,24,0,0,2,18
20,2523,2.2,5,7,12,2,0,0,72
20,28525,2.5,50,113,0,0,0,3,65
20,1137,1.7,58,46,2,5,0,0,87
20,6657,2.2,3,41,7,0,0,5,40
20,15463,4.7,31,5,22,0,0,1,44
20,27448,6.2,56,10,7,0,0,15,29
20,16817,2.4,30,78,4,0,0,0,49
20,3688,0.6,22,71,7,2,0,7,91
20,2156,0.2,52,102,0,0,0,4,21
20,20065,6,38,11,7,0,0,4,111
20,22629,2.9,42,78,5,2,0,0,32
20,3188,1.1,39,4,5,0,0,1,74
20,37637,3.9,51,96,9,2,0,0,22
20,3318,0.3,40,116,4,0,0,7,12
20,19005,2.7,33,74,7,0,0,3,47
20,3948,0.8,29,40,3,0,0,0,112
20,24853,2.7,52,72,15,0,0,5,61
20,22741,3,38,65,32,2,0,3,31
20,6335,0.9,42,66,5,0,0,3,36
20,20257,5.3,23,36,2,0,1,0,32
20,13301,2.4,11,71,10,0,0,0,26
20,9077,3,32,12,7,2,0,2,16
20,4147,0.7,9,80,8,0,0,5,78
20,2115,0.4,32,48,6,2,0,2,12
20,22563,2.2,54,107,0,0,0,5,108
20,3838,0.5,58,61,3,0,0,6,115
20,10319,2,19,61,2,4,0,2,22
20,40138,6.1,31,62,2,3,0,3,109
20,672,1,46,50,0,0,0,3,44
20,9708,1.2,7,119,2,0,0,4,35
20,25595,4.9,2,79,2,4,0,7,88
20,84826,7.3,45,116,10,2,0,2,41
20,12307,2.4,12,67,3,0,0,4,49
20,19295,2.6,3,110,7,0,0,7,33
20,1627,3.1,2,2,7,0,0,2,31
20,13555,1.4,26,111,30,0,0,3,26
20,512,0.7,27,74,7,0,0,0,30
20,38124,3.8,36,118,7,0,0,0,115
20,9937,1.6,28,65,9,0,0,0,84
20,26618,3.9,22,72,7,0,0,4,28
20,41087,4.3,7,115,29,0,1,1,41
20,17581,6,39,2,10,0,0,14,41
20,17654,2.3,14,104,5,0,0,1,27
20,1575,2.3,33,70,9,0,0,1,32
20,14409,2.9,17,61,0,0,0,0,91
20,60397,6.3,29,117,9,0,0,4,41
20,20715,2.4,51,75,19,4,0,0,35
20,1967,0.2,36,101,7,0,0,6,12
20,6956,2.1,49,2,2,2,0,0,13
20,5481,0.9,52,34,2,0,0,4,71
20,38661,4.2,51,78,5,0,0,1,11
20,25162,2.5,50,108,0,0,0,4,81
20,11227,4.7,23,6,17,5,0,5,36
20,23696,3,47,75,4,2,0,6,48
20,43645,5.8,36,65,13,2,0,4,45
20,22137,2.5,57,67,5,0,0,11,27
20,31391,4.4,35,74,6,3,0,5,50
20,19201,2.6,31,71,7,0,0,3,79
20,8715,1.5,12,67,8,3,0,0,38
20,4077,0.8,2,78,0,0,1,9,111
20,12746,2.9,29,35,10,0,0,5,40
20,9044,1.9,47,7,28,0,0,3,35
20,3058,3.2,10,3,4,0,0,0,38
20,4263,3.5,57,116,2,0,0,3,58
20,3898,5.1,9,3,0,0,1,0,119
20,49934,7.8,25,72,7,0,0,12,18
20,455,5.2,58,63,8,0,0,6,72
20,7938,1.2,42,49,7,0,0,4,112
20,5064,0.6,59,70,7,0,0,5,40
20,16128,2.4,47,49,0,0,0,11,15
20,21499,2.5,56,79,0,0,0,4,48
20,10472,2.2,25,33,20,0,0,4,90
20,15091,2.3,59,41,6,0,0,0,70
20,7803,1.4,36,48,7,0,0,1,20
20,19588,3,50,50,5,0,0,2,30
20,9772,2.6,8,48,6,0,0,1,68
20,1274,2,20,66,10,4,0,0,14
20,51646,6.8,51,55,5,2,0,7,57
20,6727,0.8,49,71,24,0,0,0,51
20,6243,0.8,56,62,9,2,0,4,49
21,5733,2,2,39,8,0,0,2,21
21,14101,1.7,36,79,7,2,0,0,54
21,59814,6,49,103,9,0,0,4,90
21,16511,2.4,24,81,6,0,0,10,25
21,9402,2.4,8,44,19,2,0,4,24
21,4284,5.1,38,81,2,0,0,7,21
21,1029,1,34,113,0,0,0,2,92
21,6956,6.5,48,120,0,0,0,2,37
21,21212,3,46,62,6,0,0,0,36
21,5274,0.9,36,42,28,0,0,1,102
21,14364,1.9,35,69,8,0,1,11,69
21,2045,0.3,37,67,6,0,1,11,90
21,6803,0.8,40,90,7,0,0,6,30
21,19129,2.2,56,76,9,2,0,1,67
21,17123,2.1,20,108,0,2,1,5,45
21,30538,5.1,37,53,8,0,0,3,104
21,18333,2.7,24,73,0,0,0,2,93
21,1002,2.2,52,16,7,0,0,0,40
21,182,5,1,46,10,0,0,0,99
21,59394,7.2,43,70,33,0,0,13,24
21,1796,0.2,21,115,10,0,0,2,80
21,21155,2.7,2,117,8,0,0,1,32
21,20352,3,26,78,5,2,0,0,95
21,50593,4.9,37,107,7,0,0,5,92
21,21682,2.1,42,102,7,0,0,4,59
21,8351,2.3,48,5,8,0,1,0,43
21,33175,6.2,3,71,20,0,0,7,49
21,53011,7.3,34,80,0,0,0,4,57
21,14361,2.7,35,44,9,0,0,5,12
21,4348,0.5,30,102,9,0,0,0,36
21,2675,1.4,21,9,0,0,0,2,35
21,2223,0.2,51,119,9,0,0,1,36
21,20412,2.7,38,65,10,0,0,5,44
21,6689,3,32,3,0,0,0,7,55
21,2289,0.6,2,48,9,0,0,3,40
21,12683,2.2,17,72,3,0,0,3,13
21,16629,2.3,38,71,9,0,0,3,17
21,23114,4.1,10,76,5,0,0,0,15
21,28644,2.4,51,103,33,0,0,4,38
21,10696,1.6,22,69,9,0,0,2,100
21,8472,1.9,24,46,0,2,0,0,63
21,21046,2.8,52,66,0,0,0,7,40
21,15925,2.6,35,48,9,0,0,15,77
21,23964,5.7,60,6,0,0,0,1,31
21,5082,4.4,45,120,0,0,0,0,92
21,76516,7.7,48,108,0,0,0,10,35
21,43505,5.5,46,67,0,0,0,14,32
21,27825,2.5,51,106,4,0,1,1,40
21,18632,3,45,49,7,2,1,0,39
21,10675,1,50,98,9,0,0,3,42
21,25725,3,43,71,17,0,0,7,28
21,25913,2.4,60,106,7,0,0,2,61
21,11265,2.7,13,41,23,0,0,3,50
21,17365,2.9,16,78,0,0,0,3,75
21,12893,4.4,42,2,4,0,0,0,34
21,3488,1.5,29,3,9,2,0,2,89
21,10854,1.2,37,105,0,0,0,0,36
21,21574,2.3,19,110,10,2,0,2,21
21,13046,3.2,43,4,34,0,0,4,59
21,13888,1.6,39,80,10,0,1,0,17
21,38584,5.3,34,70,0,2,0,5,50
21,33493,4.4,55,61,7,0,0,6,110
21,2499,2.1,36,119,30,0,0,6,113
21,483,4,56,113,7,0,0,0,93
21,5389,0.9,21,61,24,0,0,7,18
21,7644,2.4,8,42,0,0,0,0,47
21,8026,0.8,38,116,7,0,0,0,120
21,28224,3.2,52,74,0,0,0,3,45
21,6265,0.5,58,117,8,0,0,7,20
21,26448,4.8,23,60,7,0,0,0,116
21,1764,0.6,10,31,2,0,0,5,75
21,25111,2.7,34,104,16,0,0,7,32
21,78477,7.4,31,118,5,0,0,6,29
21,31551,3.9,16,109,4,0,0,0,31
21,4252,0.5,57,59,35,0,0,2,34
21,3453,0.4,51,70,29,0,0,8,48
21,1892,0.6,32,16,3,0,0,5,41
21,16905,2.3,2,98,10,0,0,10,41
21,14105,1.3,45,110,0,0,0,6,34
21,29047,5.7,45,35,0,0,0,0,41
21,30223,5.5,1,76,3,0,0,1,76
21,38475,8,11,62,5,0,0,5,96
21,5676,0.6,33,113,5,2,0,0,47
21,16403,2.5,31,72,0,0,0,4,25
21,25203,4.1,29,63,9,0,0,0,31
21,44173,6.7,6,95,5,0,0,2,19
21,7546,0.7,60,94,0,0,0,0,57
21,3808,4.9,9,109,8,2,0,2,33
21,1105,1.1,24,117,5,0,0,3,117
21,3727,0.3,57,116,9,0,0,1,43
21,4788,0.9,8,63,10,0,0,0,82
21,26142,2.7,34,113,10,0,0,6,14
21,10332,2.4,46,11,9,0,0,2,24
21,10956,1,58,114,0,4,0,4,62
21,9721,1.4,39,70,0,0,0,1,20
21,49686,6.5,23,84,26,3,0,1,39
21,5047,0.7,26,77,0,0,0,5,31
21,16995,2.9,27,64,2,0,0,1,19
21,14504,3.3,18,35,32,0,0,7,13
21,19709,2.6,37,80,4,2,0,6,76
21,37755,6.7,7,70,7,0,0,2,93
21,2184,2.6,52,65,6,0,0,5,16
21,1796,0.3,17,77,0,0,0,0,34
21,1797,6.2,35,3,15,2,0,11,113
21,2427,3,56,66,10,2,0,4,46
21,12562,5.8,26,4,8,0,0,7,101
21,15517,2.9,29,52,6,0,0,4,73
21,54096,4.8,42,119,0,0,0,2,31
21,13912,2.1,41,63,0,0,0,4,70
21,40176,5.3,56,61,4,0,0,2,27
21,10128,3,32,10,22,0,0,3,27
21,22072,3,43,70,5,4,0,6,43
21,3669,0.6,31,63,4,0,0,3,63
21,20543,2.5,16,113,0,0,0,4,39
21,6615,1.4,32,32,7,2,0,4,21
21,2835,1,31,3,21,0,0,0,22
21,17745,3,19,62,7,0,0,3,56
21,7396,5.4,13,6,5,2,0,1,110
21,8236,1.3,32,55,7,0,0,1,16
21,967,2.2,3,66,0,3,0,3,93
21,18317,2.7,38,52,33,0,0,4,35
21,3587,0.5,21,77,9,0,0,15,12
21,12397,2.3,11,61,10,0,0,15,85
21,1943,0.3,29,55,17,0,0,7,54
21,546,1,7,60,22,2,0,4,75
21,13282,2.3,37,42,7,0,0,0,38
21,5824,0.8,47,57,0,2,0,13,71
21,2523,0.8,38,10,3,0,1,0,98
21,58685,6.9,32,86,7,3,0,0,28
21,20782,2.5,40,88,5,0,0,13,54
21,29251,3.2,29,112,5,0,0,2,33
21,2599,3,48,76,24,0,0,5,49
23,267234,13.8,222,77,10,30,0,20,10
23,7389,0.8,40,105,0,0,0,3,65
23,10581,2.2,24,49,5,0,0,3,69
23,19266,2.3,51,77,7,0,1,3,53
23,44794,4.8,58,79,19,0,1,3,43
23,3115,0.6,12,65,9,0,0,4,94
23,23008,4.2,48,35,6,0,0,4,24
23,4491,0.6,34,79,9,0,0,0,71
23,17858,2.1,45,84,9,0,0,7,34
23,17772,3,32,60,2,2,0,4,28
23,6309,0.7,54,70,35,0,0,4,14
23,7517,1,55,63,0,0,0,1,51
23,29925,3,40,101,3,0,0,0,44
23,6762,0.6,50,106,10,0,0,5,48
23,9373,0.9,48,114,3,0,1,5,26
23,10061,1.3,55,51,31,0,1,0,20
23,561,0.7,41,72,3,0,0,5,69
23,42663,5.7,52,63,5,0,0,3,50
23,60742,6.5,20,111,5,0,0,4,27
23,30168,3.7,18,106,8,0,0,2,36
23,49154,6.1,48,75,7,0,0,0,44
23,12901,1.9,33,61,6,0,0,0,22
23,11428,2.3,41,33,8,0,0,6,81
23,11466,2.5,13,59,0,0,0,5,36
23,6192,1.2,6,71,8,0,0,0,100
23,602,0.7,57,73,10,0,0,3,20
23,5641,0.7,45,72,19,0,0,1,117
23,9828,1.2,36,77,8,0,0,4,31
23,3344,0.5,35,59,22,3,0,4,80
23,1274,1.6,47,74,8,0,0,0,28
23,1478,0.2,46,66,8,0,0,6,31
23,252,4.3,37,55,0,0,0,3,18
23,26066,13.2,211,95,8,32,0,55,0
23,11151,2.7,50,8,2,0,0,0,60
23,5962,0.8,40,68,18,3,0,0,45
23,688,1.5,33,34,10,2,0,12,100
24,12154,2.4,12,65,5,0,0,5,56
24,16855,2.1,57,66,6,0,0,6,59
24,33495,3,38,120,3,0,0,2,61
24,36708,3.8,3,119,32,0,0,4,74
24,86323,6,120,124,39,40,0,0,64
24,319213,12.8,303,82,13,8,0,12,9
24,457968,11.6,397,149,36,7,0,24,9
24,108326,8,92,112,88,5,0,7,72
24,13103,2.2,11,79,7,0,0,4,48
24,13258,7.6,135,134,101,5,2,11,30
24,135018,7.8,112,158,37,5,0,5,88
24,19874,2.6,41,77,4,4,0,0,23
24,142506,12.6,67,98,47,12,0,9,177
24,57057,6.6,11,100,25,0,0,4,34
24,2064,0.3,33,75,0,0,0,12,72
24,32793,2.6,104,107,40,2,0,13,52
24,57961,5.4,48,119,3,2,0,0,17
24,4746,0.6,35,76,4,0,0,3,29
24,38199,5.1,37,65,10,0,0,4,14
24,1784,0.7,6,33,2,0,0,5,25
24,94343,7.4,62,125,93,3,0,2,53
24,4873,1.7,39,5,2,0,0,2,45
24,7771,0.8,28,117,15,3,0,0,81
24,19792,2.6,39,77,7,0,0,0,62
24,28092,3,34,106,14,0,0,1,68
24,34726,3,110,75,54,17,0,4,73
24,8198,3.9,28,5,0,0,1,7,69
24,1134,1.5,40,67,2,0,0,3,27
24,61992,5.6,66,90,57,47,0,0,79
24,5712,2.4,26,4,8,0,0,4,42
24,13931,2.7,33,44,8,0,0,2,21
24,4838,0.7,29,77,5,0,0,4,42
24,65012,6.3,40,108,28,0,0,5,40
24,33022,6.4,22,57,4,0,0,7,30
24,287472,9.8,397,54,19,42,10,51,9
24,5797,1,8,79,8,0,0,11,36
24,41278,6,35,73,0,0,1,6,16
24,4536,0.6,39,62,14,2,0,0,35
24,91204,7.2,96,121,30,7,0,4,120
24,72051,7.3,33,104,8,0,0,2,71
24,18288,3.3,12,66,18,0,0,6,40
24,143178,9.8,91,134,37,4,2,7,22
24,3746,0.4,37,110,0,0,0,3,33
24,2226,4,12,64,7,0,1,6,91
24,8593,1.9,21,47,6,0,0,0,61
24,232514,17,110,125,31,4,0,12,30
24,17307,2.2,40,80,7,0,0,1,15
24,13568,6,29,5,3,0,0,4,116
24,2835,4.3,32,68,7,3,0,5,28
24,136038,8.2,149,106,43,3,0,4,69
24,2002,2,20,110,26,0,0,14,76
24,91564,8.6,100,76,38,8,0,5,32
24,9828,7.2,75,119,67,3,0,13,72
24,208656,5.4,399,148,10,7,7,18,0
25,66273,5.1,87,81,0,4,0,18,53
25,3367,3.7,60,45,2,31,0,22,14
25,83363,8.8,75,85,27,4,0,9,44
25,37519,3.8,56,76,0,43,1,19,22
25,11772,1.4,57,74,2,0,0,3,13
25,32334,1.8,103,137,0,1,0,18,69
25,9689,1.3,33,67,6,28,1,1,29
25,33888,7.6,8,62,0,0,0,3,21
25,14161,1.7,53,44,0,4,0,1,7
25,988,1.1,96,5,2,0,0,9,49
25,41583,4.8,57,56,0,0,0,17,65
25,227633,6.2,361,148,31,33,0,6,7
25,6635,9.3,32,67,0,23,0,25,20
25,21203,1.3,104,86,0,0,0,3,41
25,37277,3.8,55,76,0,0,0,25,6
25,28812,2.1,46,129,4,0,0,23,47
25,58763,8.2,38,59,1,0,0,2,55
25,326775,8.6,477,112,15,38,0,51,13
25,15568,2.6,31,50,0,27,0,5,42
25,416012,11.6,429,120,28,8,7,20,0
25,37306,5.3,68,12,5,11,0,3,20
25,3199,3.1,31,116,4,34,0,8,3
25,67248,5.1,33,160,0,0,0,22,41
25,27608,3.4,57,36,0,11,0,1,9
25,22709,3.1,47,48,2,18,0,4,27
25,16541,1.7,39,80,8,6,0,0,12
25,93543,8.9,51,91,4,0,0,6,17
25,14619,1.8,60,41,3,9,0,7,35
25,3808,3.4,45,96,0,22,2,5,24
25,17325,1.8,43,75,3,2,0,8,25
25,30882,2.4,89,76,0,35,0,3,50
25,47699,3.9,102,48,0,12,0,29,2
25,36793,3.8,65,58,4,4,0,5,37
25,17005,1.9,70,41,1,6,3,6,58
25,9377,1.6,44,30,0,0,0,29,10
25,29563,2.1,64,131,0,24,0,4,8
25,137057,8.8,163,73,17,2,4,31,11
25,42743,6.1,37,58,0,2,0,1,32
25,148938,9.2,122,122,105,16,2,13,66
25,37981,4.5,33,85,1,6,0,4,52
25,37201,4,55,67,2,6,0,4,8
25,133415,9,107,132,65,10,0,9,72
25,19976,1.4,53,150,0,0,0,10,23
25,26907,2.4,55,98,0,4,0,1,23
25,59996,6.9,45,71,5,2,0,3,11
25,50333,7.3,18,78,5,2,0,0,45
25,18002,1.2,66,142,1,0,0,6,25
25,24136,1.6,67,120,1,0,0,6,12
25,123964,8.8,119,123,32,6,0,13,22
25,57451,5.8,57,72,7,43,0,22,12
25,39498,3.7,41,94,1,0,0,13,53
25,52052,5.2,51,71,0,0,0,24,44
25,37842,5.1,43,42,8,19,0,11,67
25,3479,3.5,70,44,0,1,0,4,51
25,38227,4.3,45,64,0,0,0,1,24
25,73426,8.1,32,84,1,2,0,8,55
25,39125,7.4,55,6,0,26,0,20,29
25,43857,3,75,122,3,1,0,25,48
25,18549,1.6,61,96,0,19,0,11,34
25,68355,6.3,56,75,2,0,1,9,2
25,55176,4.4,89,108,24,41,0,8,40
25,77064,4.6,94,130,2,36,0,8,24
25,3271,2.6,111,40,1,0,0,0,25
25,73956,5.4,85,95,0,0,0,24,22
25,28168,3.3,40,78,0,4,0,6,2
25,62178,8.6,44,50,3,0,0,5,38
25,30597,12.4,234,114,9,30,0,53,10
25,38526,6.3,43,35,0,0,0,9,23
25,18734,1.7,50,102,0,2,0,6,3
25,26843,2.8,84,31,3,18,0,3,17
25,102473,9.2,104,77,46,21,0,6,38
26,5376,4.8,58,77,4,0,0,16,29
26,32456,3.3,45,75,3,1,1,8,15
26,56929,5.4,65,71,7,0,0,9,14
26,32143,2.9,63,84,2,0,0,9,39
26,61802,6.6,46,82,0,0,1,16,48
26,21365,3.9,60,2,0,5,2,9,25
26,43214,3.2,56,131,4,3,2,23,46
26,22273,2.1,34,117,3,36,0,0,26
26,11421,1.1,56,82,4,5,0,22,63
26,57004,6.1,64,42,3,39,0,23,10
26,63602,5.9,62,65,4,3,0,23,31
26,97275,6.8,93,120,98,2,2,7,51
26,3005,3.7,60,42,3,0,0,7,14
26,25799,2.5,77,52,2,29,1,3,35
26,23171,2.5,55,66,3,0,0,0,18
26,23907,2.7,63,50,0,0,0,1,10
26,23593,2.1,42,100,3,0,0,24,10
26,37099,3.2,94,50,0,0,1,21,26
26,2716,2,55,116,0,31,2,26,20
26,76822,6.7,45,117,0,39,0,18,42
26,42361,3.5,94,57,0,0,0,26,34
26,21441,1.7,69,99,4,12,1,18,27
26,22866,14.8,99,137,43,7,0,9,58
26,5657,1.2,50,3,0,3,3,9,27
26,84258,6.2,77,112,75,4,0,7,32
26,467061,12.2,489,112,0,30,0,19,10
26,124158,8.9,108,65,4,0,0,17,41
26,27977,1.8,70,144,4,14,2,2,44
26,2086,2,74,45,0,15,0,0,1
26,1281,3,31,18,0,0,2,29,39
26,90887,8.7,54,88,0,28,0,30,2
26,34761,5.1,45,43,0,0,0,17,49
26,85785,5.7,69,117,2,4,0,21,24
26,33852,3.1,66,63,0,6,0,15,22
26,4802,4.9,61,54,0,2,1,1,2
26,12285,1.3,40,78,0,3,1,2,20
26,33825,4.5,33,70,2,0,0,6,50
26,24289,3.1,41,64,2,0,0,8,30
26,54209,7.4,53,41,0,15,0,29,37
26,19664,1.8,53,95,3,0,0,7,16
26,74816,8.7,60,50,0,5,0,8,26
26,35525,3.9,46,78,0,4,0,10,17
26,25455,3.6,30,69,0,4,0,0,11
26,139803,9,120,132,65,9,0,2,50
26,29596,2.8,49,80,4,0,0,2,39
26,246694,16.4,107,147,43,2,2,12,87
26,41496,3.9,53,76,4,0,0,20,30
26,10832,1.9,37,34,7,31,1,10,14
26,35239,2.8,105,83,85,4,0,10,141
26,128934,7.8,117,128,61,7,0,10,67
26,38897,2.6,117,139,36,13,0,12,103
26,81313,6.9,30,143,0,22,0,13,31
26,59419,5.3,48,109,0,32,0,0,22
26,16607,3.3,42,16,8,29,1,12,21
26,8085,1.5,45,12,2,45,2,5,43
26,19852,2.3,52,60,5,0,0,16,60
26,88714,7.1,75,69,7,0,0,0,24
26,10371,6.7,102,98,4,20,0,23,16
26,33411,3.7,46,63,2,24,0,3,5
26,97716,5.9,89,134,0,0,0,0,15
26,26754,3.5,48,53,0,12,0,15,18
26,15543,1.6,34,101,7,25,0,6,14
